term,definition
(be) attributed to,"~에 기인하다, ~의 덕분으로 여겨지다 
- Our success can be attributed to your hard work."
**avert,"피하다**, 방지하다, 막다 
<'vert' (turn) 
:divert 전환시키다 convert 개종시키다 subvert 전복시키다"
**betray,"1. 배신, 배반하다 
2.(원칙, 신뢰 등을)저버리다 
3. 은연중에 ""드러내다"" reveal, disclose, bespeak 
- Her laugh betrayed her contempt for the idea."
**challenge,"이의를 제기하다, resist 
(A) challenge (-A)"
**champion,"지지하다, 옹호하다 *advocate, bolster, buttress 
(A) champion (A)"
**compromise,"(-) (명예, 원칙) 약화시키다, 위태롭게 하다, 훼손하다, ;타협하다"
**elusive,"difficult to find ""알수 없을 때"" 이해, 정의하기 힘든 <'elude' 피하다 
- The truth may prove elusive."
**engaging,"매혹하는, 매력적인 attractive"
**epitome,"1. 전형, 모범, 완벽한 예 perfect example 
archetype, exemplar
2. 요약, 줄거리"
**eschew,"피하다, 삼가다"
**fatuous,어리석은 stupid
**feckless,"1.쓸모없는 uesless, bootless; 
2.무책임한 irresponsible"
**nebulous,"흐릿한, 모호한 unclear, vague
(nebula 구름)"
**numinous,"신비한, 초자연적인, 신의 존재를 생각하게 하는"
**obsequious,"아부하는
sycophantic"
**offset,상쇄하다
**pastiche,"혼합물, 파스티셰(그림등이 여러 스타일 혼합한 작품)
hodgepodge"
**propo'nent,"지지자
champion"
**recalcitrant,"저항하는, 다루기 힘든, *고집센*
refractory, restive*
ex)Unfortunately, I should teach a class of recalcitrant fifteen-year-olds."
**recondite,"**난해한, 모호한 abstruse, obscure"
**shun,"기피하다
dodge, avoid, evade, skirt, shirk"
**sycophantic,아첨하는 =obsequious*
*audacious,"용감한, 겁없는; 무모한"
*aversion,"혐오감 
a. averse 혐오하는"
*awry,"1. (계획 등) 빗나간, 잘못된 
2. 구부러진, 비뚤어진, 헝클어진 askew*"
*baffle,"1.당황하게 하다 (abash) ~~bewilder bemuse befuddle
2.(계획) 좌절시키다"
*banal,진부한 arid
*belie,"1. 잘못임을 드러내다, 모순되다, 상반되다 contradict
- Smile belies sorrow. (belie 앞뒤 상반 표현)
2. -을 잘못 전하다; (감정 따위)를 숨기다 mask"
*berate,"호되게 꾸짖다, ""비난하다"""
*bogus,가짜의 (fake) apocryphal(출처가 불분명한)
*bolster,"지탱하다, 지지하다, 강화하다 support, buttress"
*bravado,"허세 bluster, bombast, pompous"
*bucolic,"전원적인 rural, rustic, pastoral"
*buoyant,"1. 부력이 있는 2. 기운찬, 명량한 lighthearted; cheerful"
*buttress,"1. 부벽 2. 지탱하다, 지지하다 bolster"
*calamity,"재앙, 재난 *debacle"
*callous,"무관심한, 냉담한, 무감각한 <굳은 살 박힌"
*callow,"미성숙한, 경험이 없는 immature"
*camouflage,"1. 위장, 속임 2. 위장하다"
*capricious,"변덕스러운 
fickle, mercurial"
*castigate,"징계, 비난하다 ↓ 
chastise, chide, censure, condemn; reprimand 
<> 칭찬"
*censorious,"매우 비난(비판)적인, expressing ""censure""* 
**주의 censure 비난하다 - censor 검열하다"
*chariness,"1. 조심스러움, 조심성 caution 2. 근검, 인색함 //
[a] chary 1. 조심하는, 신중한 wary, circumspect, cautious, heedful (heed=care) 2. 절약하는"
*chivalrous,"기사도적인, 용감한, 예의 바른 ""brave & noble""
<chival 기사"
*circumlocution,"에둘러 말하기, 장황, 둘러대기"
*circumscribe,"제한하다 restrict, limit"
*circumvent,"(법, 제한 등을) 피하다 bypass"
*clandestine,"비밀의, 은밀한 covert, cryptic"
*commensurate,"1. 동등한, 같은 크기의 equal 
2. 비례하는 
- Salary will be commensurate with experience"
*commonplace,(-)1. 진부한 2. 진부한 문구
*compelling,"1. 주목하지 않을 수 없는, 매우 흥미로운* captivating 2. 설득력 있는"
*composure,평상심
*debilitate,쇠약하게 만들다 infirm
*debunk,"허구임을 드러내다, 틀렸음을 드러내다
-The article debunks the notion that life exists on Mars."
*decorum,"단정함, 예의 바름"
*decry,↓비난하다
*defer,"1. 연기하다, 미루다 2. 뜻을 따라주다"
*deference,존중 경의
*deferential,공손한
*definitive,"결론적인, 확정적인/ 최고의 =authoritative"
*deft,"솜씨 좋은, 민첩한 dexterous 
cf) daft 바보같은 어리석은 미친"
*defy,"저항/도전하다, 불복종하다 
disobey, disregard(ignore)
a.defiant"
*deleterious,"해로운 
detrimental"
*delude,"속이다, 기만하다 beguile, mislead, deceive, fool"
*demur,"이의 제기하다, 반대하다 object"
*denigrate,"↓1.(명예)훼손하다 defame 
 2.비난하다, 폄하하다"
*deprecate,"↓1.비난하다, 반대하다 2.깎아내리다
disparage, depreciate"
*derelict,"1. (건물 등) 방치된, 버려진* abandoned 
2. 태만한 ;de + relinquish"
*deride,"조롱하다, 비웃다 ↓; de rid 우스꽝스럽게 여기다. 조롱하다"
*detract ↓,"1.(from)(가치,중요성,명성 따위를)떨어뜨리다, 줄이다, 비난하다
2.(주의를) 딴 데로 돌리다"
*detractor,"중상을 일삼는 사람, 명예 훼손자"
*didactic,"가르치기 위한, 교훈적인"
*dilatory,"행동이 느린, 늑장부리는
dawdle 늑장부리다, 꾸물거리다 딜레이토리"
*dilettante,"아마추어(예술가), 초보자
dabbler, amateur"
*discerning,discriminating*
*disconcert,"동요시키다, 혼란스럽게 하다
discombobulate, discomfit, discompose, disconcert"
*discreet,"(+) 지각 있는, 현명한, 신중한, 조심스러운 
=prudent 
n.discretion
- He was very discreet, only saying what was necessary."
*discrepancy,"불일치, 차이, 어긋남
variation, divergence"
*disinterested,"객관적인, 공정한, 무관심한 
detached, dispassionate, impartial"
*dismiss,"일축하다, (받아들일 가치가 없다고) 묵살하다
to refuse to accept or recongnize"
*disparage,"↓ 깎아내리다, 폄하하다, 비난하다
belittle, deprecate, depreciate, decry"
*disparate,본질적으로 다른 totally different
*dispassionate,"감정에 휘둘리지 않는; 객관적인 공정한
detached, disinterested"
*distort,왜곡하다
*dogmatic,"독단적인
dogma 독단, 교리"
*downplay,"↓경시하다, 하찮게 여기다 
-Athletes often downplay their injuries."
*eclectic,"다양한, 다방면의 selecting what seems ""best"" of various styles or ideas (ex.<도둑들>)"
*egalitarian,평등주의적인
*elucidate,"명료하게 하다, (명확히) 설명하다 to make clear"
*encomium,"찬사 a formal expression of high praise
tribute"
*ephemeral,"일시적인, 덧없는 
evanescent*, transitory, transient, momentary 
<>permanent"
*equivalent,"상응하는, 동등한, 같은 
equal, commensurate <>unequal"
*erratic,"불규칙한, 일정치 않은, 변덕스러운
capricious, fickle, mercurial, whimsical"
*euphoria,"행복감, 희열 
ecstasy, bliss, rapture"
*evanescent,"사라져가는, 덧없는 disappear
~~ephemeral"
*exonerate,"면죄하다; (책임, 의무) 면제하다=exempt
absolve, acquit, discharge, exculpate"
*extraneous,"외래의, 이질적인, 관련 없는**irrelevant"
*extravagant,"사치하는, 낭비하는* wasteful ; 터무니 없는, 지나친"
*facetious,"익살스런, 웃기는; 까부는(경솔한)
humorous, droll"
*facile,"피상적인; 손쉬운, 용이한
effortless"
*fastidious,"꼼꼼한(+); 까다로운(-)
hard to please
fastidious, fussy, finicky"
*fealty,"(영주에 대한) 충성
loyalty, allegiance, fidelity"
*fickle,"변덕스런
capricious, mercurial, volatile,whimsical, erratic"
*finicky,"몹시 까다로운, 꼼꼼한
fastidious, fussy, finicky"
*flamboyant,"눈부신, 화려한, 현란한*"
*flippancy,"경솔, 경박"
*flippant,"경박한, 성의없는 (가볍고 무례한)
frivolous <> serious"
*foible,"(사소한) 약점(기벽) a minor character flaw 
defect, weakness"
*nadir,"천저, 밑바닥 (무한한 상황에서 바닥- bottom은 아님) <> 정점 apex, culmination, crest, pinncle, peak, summit"
*nascent,"지금 막 생겨난(native와 다름 , 단계적 초기) 
just beginning, embryonic, incipient, fledgling <>moribund 다 죽어가는"
*negligible,"무시해도 될 정도의, 하찮은;
paltry, meager, measly"
*nugatory,"하찮은futile
negligible, nominal"
*obfuscatory,"혼란스러운, 애매한 
[v]*obfuscate 애매하게(혼란스럽게) 만들다
nonplus, befuddle, bemuse, baffle, perplex, confound, abash"
*oblivious,"알아채지 못한, 염두에 없는, 망각한, 부주의한
""몰랐어....까먹었다!!"""
*obtrusive,"돌출한, 눈에 거슬리는/ 나서는, 주제넘은
conspicuous, prominent, noticeable (눈에띄는, (+) 뜻 아니다!)
cf. obtrude 불쑥 튀어나오다, 끼어들다"
*obviate,"미리 막다, 피하다; (필요성이나 어려움) 제거하다
preclude, forestall"
*officious,"(관직이나 직급을 내세워) 참견이 심한
intrusive, meddlesome, meddling, invasive"
*onerous,"힘든 <> facile
**힘든 difficult 3가지 : onerous/ arduous/ strenuous"
*opprobrium,"불명예, 비난 =disdain"
*oscillating,"진동의
*oscillate (between A and B) 진동하다,주저하다, 흔들리다 vacillate"
*ossify,"1. 골화되다 petrify 2.보수화되다 
주의) consolidate 입지를 강화하다(딱딱하게하다X)"
*ostensibly,"표면상으로는(반전 부사)//
[a] ostensible 표면적인"
*ostentatious,"자랑/과시하는, 허세부리는
n. ostentation"
*paean,"찬가 praise
**""p""로 시작하는 찬사/칭찬 : 
paean/ plaudit/ panegyric"
*palpable,"1. 느껴서 알수 있는 2.*명백한, 뚜렷한
=tangible
cf) inpalpable, intangible 뚜렷하지 않은"
*paltry,"쥐꼬리만한, 얼마안되는, 시시한, 하찮은*
meager, negligible, nugatory"
*paradigm,"전형
exemplar, epitome, archetype"
*parity,"동등, 동격, 동량 <>편파, 불공정"
*parsimonious,인색한
*partisan,"1.열렬한 지지자(당원), 편파적인 사람(당원) 
2. *(-) 편파적인, partial, jaundiced, tendentious"
*paucity,"소량, 결핍, 부족"
*peccadillo,"가벼운 죄, 사소한 실수* misdemeanor, lapse, misdeed"
*pedant,현학자
*pedantic,"(-) 현학적인, 아는척하는, 규칙에 목매는
n. pedantry 아는척하는 행동
n. pedant 현학자"
*pedestrian,"평범한, 진부한"
*pejorative,"경멸적인, 비난적인
pejoration 비난"
*perfunctory,"형식적인, 기계적인 (하기싫은, 꺼리는 reluctant 느낌)
desultory(random), quick(대충,빨리)"
*peripheral,주변부의/ *중요하지 않은 marginal
*pernicious,"치명적인('죽음'에 가까울정도), 해로운
- Lung cancer is a pernicious disease."
*pertinent,"관련된, 적절한 relevant"
*petulant,"화잘내는, 성급한 = impetuous**"
*phlegmatic,"감정을 잘 드러내지 않는, *무관심한, 침착한, 냉정한"
*pitfall,"(-) *함정, 숨겨진 위험"
*pithy,"간결한, 핵심적인 
pith= gist 핵심"
*placidity,"조용함, 평온, 온화, 차분함
<[a] placid 평온한, 고요한 calm, pacific"
*plaintive,"*슬픈, 애처로운, 불쌍한"
*plethora,"초과, 과다 =surfeit <>소량"
*plummet,"1. 수직으로 떨어지다
2. 급락하다 
<plum (추)"
*precipitate,"1. 촉발시키다, 재촉하다
2. 성급한*
3. (변화, 감소) 급격한*
** precipitate 성급한/급격한
** precipitous 급격한/성급한"
*preclude,"막다, 배제하다"
*presumptuous,"건방진, 주제넘는, 나서는, 뻔뻔한 
'pre' 앞 + 'sump' jump 
brassy, brashy 
(조심) presumptive 추정상의 <presume"
*pretentious,"허세부리는, 과시하는
'pre' 앞 + 'tent' 늘리다 (말을) 
= ostentatious"
*pristine,"1. 원시의
2. **깨끗한*, 순수한, 오염되지 않은"
*probity,"*정직, 청렴
integrity"
*profligate,"*낭비하는/ 낭비하는 사람
*profligate, prodigal*, extravagant, lavish"
*promulgate,"(법, 제도) 널리알리다, 공표하다 esp. by Mass Media
=declare
ex)In January 1852, the new constitution was promulgated."
*prosaic,"*진부한, 재미없는, 지겨운; 산문형식의 
prose 산문/ verse 운문 
ex. a prosaic lecture"
*proscribe,"(공식적으로) 금지하다 prohibit*
(조심) presecribe"
*prudence,"현명한, 신중함"
"*pugnacious 
퍽!","호전적인, 다투기 좋아하는 
quarrelsome, cantankerous(심술궂은; 잘 싸우는)"
*punctiliousness,"격식에 치우침 , 딱딱함 ; 꼼꼼함.//
[a] punctilious* 격식에 치우친, 세심한, 꼼꼼한, 까다로운
= meticulosity, meticulousness, scrupulousness"
*quash,"*막다*, 억제하다, 억누르다; 정복하다 
quell"
*quirky,"별난, 특이한, 이상한 
eccentric, idiosyncratic; unconventional* 
n.quirk= 특이함, 이상함"
*quixotic,"(돈키호테의), 지나치게 이상적인, 비현실적인
idealistic, romantic, visionary, Utopian, unrealistic, unworldly, impractical, impracticable, chimerical"
*rebuff,"퉁명스럽게 거부하다, 거절하다* (못되게 거절!) 
reject, spurn, snub"
*rebuke,"심하게 꾸짖다, *비난하다*
**r로 시작하는 '비난하다' 
*rebuke, reprimand, reproach, reprove, reprehend, reprobate, revile, rail*"
*reciprocal,"상호간의, 상호이익의, 교감하는, 호혜적인"
*reckless,"무모한, 무분별한, 성급한 
rash, precipitate, precipitous"
*reconciliation,"화해, 조화
=rapprochement (화해, 관계회복)"
*rectitude,"정의로움, 옳음, 정직 ('대쪽'같은 거) 
'rec' 곧은 + 'attitude' 자세 
probity, integrity"
*redundant,"과잉의, 불필요한, 쓸모없는, 잉여의 
unnecessarily abundant ""남아도는"" 
= unnecessary, not required, inessential, surplus, superfluous"
*refute,"논박하다 rebut, disprove
*A refute -A"
*renounce,"1. 포기하다, 철회하다 2. 거부하다, 부인하다=reject*
< 're' back + 'nounce' announce : announce한 걸 되돌리다 
renonunce = retract 포기,철회,취소- 
denounce = detract '비난하다'"
*reproof,"비난=censuring// 
< reprove (-) 질책하다, 비난하다
reprimand, censure, rebuke, reproach, reprobate
<조심> 'prove' (입증하다)와 무관"
*reserved,"내성적인, 얌전한"
*resort,"(to) 호소하다, 의지하다, 의존하다 
resort to = have recourse to*"
*restive <조심>,"1. 안절부절 못하는 restless*, uneasy
2. 통제하기 힘든 difficult to control=refusing to move 고집센"
*reticent,"과묵한
laconic"
*reverence,"존경, 공경"
*robust,"건강한, 건장한 ""튼튼한"""
*rudimentary,"*미발달의, 미성숙의; *기본적인 
basic, elementary, primitive*"
*sacrosanct,"(+) 신성불가침의, 신성한"
*sagacious,"현명한 <sage 현인, 현자
prudent"
*salient,"1. 눈에 띄는 (+아님) visible 
2. 유명한 
prominent, conspicuous, noticeable, remarkable"
*salubrious,"건강에 좋은, 유익한, 건강한 salutary
'sal' 소금(+) ex)salubrious weather 
<>insalubrious"
*salutary,"(정신)건강에 좋은, 유익한 salubrious"
*sanguine,"1.혈색좋은, 핏기가 도는, 얼굴이 발그레한 <'sangri' 피 
2. *낙관적인, 쾌활한* optimistic, hopeful
3. 다혈질의
cf> sanguinary (-) 피비린내나는"
*scathing,"상처내는, 신랄한
<scathe=damage, injure 
 scathed 다친 상태로 unscathed 안 다친"
*scrutinize,"면밀히 살피다, 샅샅이 조사하다 
n. scrutiny 정밀조사"
*sectarian,"분파의, 종파심이 강한; 편협한* <'sector' 
= partisan"
*sedulous,"근면성실한*, 부지런한 <'sed' = sit
= assiduous*"
*slapdash,"서둘러서 아무렇게나 하는, 성의없는, 단정치 못한
*slapdash, slipshod, slovenly*"
*slur,"중상하다, 비방하다 ↓/ 중상, 비방 
slander/ aspersion*"
*solicitous,"(간절히) 걱정하는 eager& concerned* (구걸하고 간청하는 자세) 
Ex) She was solicitous about the welfare of her students."
*sordid,"(-)추잡스런, 더러운*, 비열한, ""더럽고 치사한"" (morally) 
Ex)The story presents a sordid picture of bribes and scams(사기)."
*specious,"허울좋은, 겉만 번드르르한, *실제로는 잘못된, ""거짓의, 가짜의, 허위의"" plausible, but actually wrong =spurious*, mendacious
<>""진짜의"" veritable, veracious"
*spurious,"가짜의, 허위의 specious"
*spurn,"경멸하며 거절하다, 퇴짜놓다
rebuff, snub, spurn"
*stalwart,"1. 충성된, 마음이 확고한; 그런사람 loyal, faithful, steadfast
2. 튼튼한, 건장한; 그런 사람 sturdy, sinewy, brawny, burly"
*stark,"1.*완전한, 순전한 sheer, utter, complete, absolute, total ex) stark terror/complexity 
2.지나치게 뚜렷한 unpleasantly or sharply clear;impossible to avoid
3.삭막한, 황량한, 을씨년스러운 desolate, barren, asutere"
*stigma,"주홍글자, 낙인, 오명"
*stoicism,"극기, 금욕"
*subservient,"복종하는, 굴종하는* obedient, docile, submissive,deferential
부차적인, 부수적인 subordinate"
*substantiate,"입증하다
prove, verify"
*subterfuge,"핑계, 속임수, 술수
deceit, guile, cunning, plot, stategem"
*sullied,"훼손된// 
[v] *sully 더럽히다 (명예) 훼손시키다
defile, taint, stain, tarish, blemish, besmirch"
*supercilious,"오만한, 거만한, 건방진
arrogant, haughty, pompous, condescending, patronizing, imperious*"
*superfluous,"잉여의, 불필요한, unnecessarily abundant, redundant"
*surfeit,"과다
surplus, gult, deluge, plethora"
*surmise,"추정하다, 잠식하다
guess, suppose, conjecture, infer*"
*surreptitious,"은밀한
furtive, covert, cryptic, clandestine"
*taciturn,"과묵한
laconic, reticent, reserved*"
*tangible,"만질수 있는, 현실적인, 구체적인, 명확한
touchable, tactible, palpable"
*tantamount (to),"동등한, 비슷한
equivalent, commensurate with"
*tarnish,"더럽히다
besmirch, taint, stain, sully, blemish
광택을 잃게 하다 <> polish, furbish, burnish"
abash,"[보통 수동형으로] 무안하게 하다, 당황하게 하다 (→abashed)"
abate,"(정도, 세기 수량) 줄이다, 감소시키다, 완화시키다"
abet,"(범죄, 나쁜 짓) 부추기다, 자극하다"
abeyance,"(일시적) 중지, 중단"
abhorrence,(도덕적 이유에 의한) 혐오
abhorrent,혐오스러운
abhorrer,몹시 싫어하는 사람; (영국사) 국회 소집 반대파
abject,"1.비굴한 2.비참한, 절망적인"
abjure,"(신념, 주장) 버리다, 포기하다 
renounce, repudiate
abdicate, relinquish"
abnegate,"(권리) 버리다; (쾌락) 끊다, 자제하다"
abominate,"혐오하다, 증오하다"
abominate,"despise, loath"
abound,"풍부하다 
a. abundant"
abound,proliferate
absolve,exornerate
abstemious,"(음식, 음주) 삼가는, 절제하는 
<abstain 삼가다 절제하다"
abstemious,austere
abstracted,divorced
abstruse,"심오한, 난해한
 inscrutable, unfathomable, esoteric, impenetrable, recondite, enigmatic"
absurd,터무니 없는
abysmal,"1. 심연의, 매우 깊은 2. 끔찍한, 매우 나쁜, 최악의"
abysmal,immense
accede,"동의하다, 응하다"
accession,"1.취임,즉위; 가입 2.*승낙,응낙, 동의 =acquiescence(묵종, (암묵적)승낙)"
accession,acquiescene
accolade,"찬사, 칭찬, 영광"
accretion,점진적으로 증가하다
accretion,accession
accrue,누적으로 쌓이다
acentuate,highlight
acerbic,"신랄한, 쓴 맛의"
acerbic,mordant
acknowledge,"1.인정하다, 인지하다, 2.감사하다"
acquiescent,"잠자코 동의하는, 묵인하는, 묵종하는 
n.acquiescence 묵인, (암묵적)승낙 
v.acquiesce (마지못해) 순응하다, 따르다; 묵종하다"
acquisition,"습득; 습득,구입,취득한 것"
acquisitive,소유욕(물욕)이 많은
acquisitive,covetous
acquisitive,"rapacious, avaricious, avid, covetous"
acrimonious,신랄한
acumen,"명민함, 통찰력, 혜안"
ad hoc,"즉석의(-에서 마련된), 임시의 arranged or happening when necessary and not planned in advance
- The meetings will be held on an ad hoc basis."
adamant,단호한
adaptability,적응성= flexibility
adduce,"근거로 제시하다, 증거로 인용하다"
adept,"숙련된, 능숙한"
adopt,"입양하다, 택하다, 사용하다"
adroit,능숙한= dexterous
adulterate,(불순물을 섞어) 순도/품질을 떨어뜨리다
adversarial,"적대적인 
= antagonistic"
aesthetic,심미적인
affable,"상냥한, 친절한, 사귀기 쉬운
= cordial(다정한, 화기애애한)"
affable,cordial
affable,easygoing
affected,"가장한, 꾸민 assumed artificially"
affiliate,"1.가입하다, 2.교제하다, 친분관계를 맺다"
affiliated,kindred
affinity,"친근함, 유사성"
affluent,"부유한, 풍성한
rich, abundant"
aggrandize,"증대시키다; 칭찬하다, 과장하다"
agile,"민첩한
nimble"
agile,nimble
airtight,"밀폐된, 기밀의"
airtight,"sealed, impenetrable"
alacrity,"민첩, 민활 
liveliness, eagerness"
alarcrity,"promptness, avidity"
albeit,~에도 불구하고 although
allegiance,"충성; 충실,헌신"
allegiance,"loyalty, homage"
allegorical,"우화의, 비유적인"
allegorical,"emblematic, figurative"
alleviate,"완화시키다, 가볍게 하다"
allure,"매력, 유혹하다"
allusive,암시적인
aloof,"쌀쌀맞은, 무관심한, 냉담한 detached"
altruism,이타주의
altruistic,이타주의적인
amalgam,혼합물 <v.amalgamate
amalgam,"mixture, alloy, compound"
amalgamate,"혼합시키다, 융합시키다"
ambient,"주변의, 주위의; 환경, 분위기"
ambiguous,"애매한, 여러가지로 해석할 수 있는"
ambivalent,"상반된 감정이 있는, 양면적인"
amble,"walk casually, drift, meander"
ameliorate,개선하다
amorphous,"형태, 정의가 불명확한 shapeless"
ample,"충분한, 풍만한"
ample,"sufficient, plentiful, copious"
amusing,"재미있는, 즐거운"
anachronistic,"시대착오적인; 구시대적인 having an ""error in chronology""; no longer in use or vogue"
analogous,유사한
anathema,"파문, 저주, 증오"
anathema,"pariah, bane, abomination; denouncement, sensure, denunciation, excommunication; Racial prejudice is anathema to me."
ancillary,"부속의, 보조의"
anecdote,"일화, 짧은 이야기"
anemic,"feeble, frail, wan"
animadversion,"호된 비난, 비평, 혹평"
animadversion,"slur, knock, blame, faultfinding, opprobrium"
animate,"생기를 불어넣다
a. animated 활력있는, 활발한"
animated,"활력 있는, 활발한"
animus,"적대감, 혐오감, 반감"
animus,"bile, temper; Adolescent boys occasionally harbor X towards the advice of adults."
anneal,"(금속이나 유리를 불에 달궜다가 천천히 식혀) 강화시키다, 담금질하다"
annihilate,destroy
annoying,unwelcome
annul,"무효로 하다, 취소하다, 폐지하다; abrogate"
annul,"abolish, expunge, dissolve, quash, repeal, vacate"
anodyne,"n.진통제; 감정을 완화시키는 것 
a.진통의;감정을 완화시키는"
anodyne,"relieving; anesthetic, sedative, soother, painkiller"
anomaly,"비정상, 변칙, 이례 
a. anomalous 변칙적인, 비정상의, 이례적인"
anonymous,obscure
antagonism,"적의, 적대감"
antecipate,prefigure
antediluvian,archaic; ante + deluge(flood)
anthropogenic,인간 활동에 의한; 인위적인
anthropomorphism,의인화
anticipate,"예상하다, 예측하다, 기대하다; prefigure"
antidote,해독제
antiquity,"고대, 유물"
antiquity,relic
antithetical,반대의
antithetical,"inverse, converse, poles apart"
apathetic,"무관심한, 무정한 n. apathy"
apathetic,"callous, laid-back, stoic"
apathy,무관심
aped bape,imitate
aped,imitated
apologist,advocate
apotheosis,"elevation, glorification, deification"
appologist,"옹호자, 변론자"
apposite,아주 적절한
apposite,"pertinent, germane, timely"
appraise,평가하다
appreciate,진가를 알아보다; 감사하다; 인식하다; 가치가 오르다
appreciation,appraisal
apprehension,두려움 adj. apprehensive
apprehension,trepidation
appropriate,"전용하다, 도용하다; (비용을) 책정하다; borrow"
appropriate,borrow
appropriation,"도용, 전용"
appropriation,allocation
aptness,적절함; 경향; 재능
aptness,"talent, aptitude"
arbitrary,"임의적인, 제멋대로의; 독단적인"
arcane,"난해한; esoteric, occult"
archetype,전형
archetypical (=archetypal),classic
arid,"매우 건조한; 무미건조한, 재미없는"
arousal,"각성; 환기; 자극, 흥분"
arraign,"비난하다; 기소된 내용을 캐묻다, 조사하다 
censure, accuse

아래있는 피고인을 아래인하다. g 모양처럼 캐묻다. 조사하다"
arraign,"accuse, indict, summon"
artificial,spurious
ascending,mounting
ascribe A to B,"A를 B 탓으로 돌리다
- He ascribed his failure to bad luck."
aspersion,"slur, calumny, animadversion, libel, abuse"
aspersion*,"비난, 비방, 중상 slander"
assert,"주장하다, 단언, 확언하다 
maintain, affirm, attest, aver, avow"
assert,maintain
assertive,"단정적인, 확신에 찬 (완강히) 주장하는, 독단적인"
asseverate,"단언하다, 증언하다, 확언하다 assert"
