term,definition
asseverate,"aver, avow, state categorically"
assiduous*,"근면 성실한, 면밀한 showing great care and perserverance // as(ad)+sid(sit)+uous=> ~쪽으로 죽치고 앉아있네.."
assimilate,"(지식, 정보) 완전히 이해하다, 흡수하다/ 동화하다 // as(ad)+simil(같은)+ate=>~쪽으로 같게 만들다=> 동화하고, 내것으로 만들어=>흡수하다 이해하다"
assorted,다양한 //
assorted,"sundry, motley, variegated"
assured,settled
astute,"canny, shrewd"
astute*,"명민한, 기민한, 영리한; having insight or acumen; perceptive; shrewd //"
attenuate,"1. 가늘게하다 
2. 약화시키다
<tenuous 가느다란, 묽은, 얇은, 가벼운..."
attest to,"증명하다, 입증하다
- Police records attest to his long history of violence."
attest to,"asseverate, vouch, substantiate"
atypical,이례적인 <>typical
audacity,용기
augment,"증가/증대시키다 to increase, extend"
august,"위엄있는, 존엄한 dignified and impressive"
august,"dignified, grand, exalted, pompous"
auspicious,"길조의, 상서로운, 행운의 
n.auspice 길조 
 <> omen (-)전조의 a. ominous"
auspicious,propitious
austere,"1.엄격한* 
2.금욕적인* 
3.꾸밈없는, 간소한, 소박한* 
-'austere budget' 긴축재정"
authenticated,"입증된, 검증된 
n. authenticate 진짜임을 입증하다"
authoritative,definitive
autocratic,"독재의, 독재적인 dictatorial"
autumnal,"mature, blooming"
avant-garde,"전위적인 Avant-garde art, music, theatre, and literature is very modern and experimental"
avant-garde,"unconventional, forward-looking, beat, head, hip"
avaricious,"rapacious, avid, covetous"
avaricious*,탐욕스러운
avatar,"1. (인도신화) 화신(化身), 권화 
2. 구현, 구체화
3. (컴퓨터) 아바타 (인터넷상의 공유 공간에서 유저(user)의 화신이 되는 캐릭터)"
avatar,"epitiome, personification"
aver,"단언하다, 주장하다 
assert, asseverate"
aver,"assert, asseverate"
avert,forestall
avian,"새의, 하늘을 나는"
avidity,"(열렬한) 욕망, 갈망; 탐욕
a. avid 열심인, 열정적인; 탐욕적인 keen, eager"
avidity,"avarice, cupidity"
avow,"주장,인정하다 acknowledge, admit, proclaim"
avow,"aver, profess, state, assert, asseverate"
awkwardness,"어색함; 다루기 어려움; 거북함
clumsiness"
awkwardness,clumsiness
awry,"amiss, askew, astray, bent"
backbiter,(뒷전에서) 험담하는 사람
backwater,"침체상태; 벽지, 후미진곳; (강의) 잔잔한 후미"
balkanize,(제1차 세계 대전 후 발칸 반도 제국처럼) 서로 적대시하는 작은 나라로 분열시키다 ; 분열시켜 다투게 하다.
balkanize,"devide, compartmentalize"
ballyhoo,"(-) 괜한 소란, 소동, 야단법석"
ballyhoo,"propaganda, hype"
banal,stale
banish,expel
banter,"가벼운 대화, 농담
badinage, raillery"
banter,raillery; fun
barring,"~을 제외하고, ~이 없다면 
- Barring accidents, we should arrive on time."
barring,excepting
baseless,untenable
bedrock,(튼튼한) 기반 foundation
bedrock,foundation
befuddled,혼란스러워하는
befuddled,"baffled, bewildered"
beguile,"1.속이다 
2.매료시키다* beguiling 매력적인"
beguile,"entice, seduce, fool, charm, delude, hoodwink, lure"
belie,contradict
belie,mask
belittle,"1. 얕보다, 흠잡다, 과소평가하다, 경시하다 
2. 작게 하다[보이게 하다], 하찮게 만들다."
bellicose,"호전적인, 싸우기 좋아하는 
belligerent"
belligerent,"1.호전적인 hostile, aggresive, bellicose
2.전쟁중인"
bemoan,"슬퍼하다, 한탄하다
bemoaned 슬퍼하는, 한탄하는 (?)"
bemused,"멍한, 넋이 나간, 어리벙벙한; 마음을 빼앗긴
puzzled, confused, baffled"
bemused,"abstracted, absorbed, distracted, perplexed"
beneficent,"자비로운, 자선을 베푸는 
benevolent, altruism"
beneficial,"유익한, 이로운"
benevolence,"자비심, 박애; 자선, 선행
a.benevolent=beneficent"
benighted,"무지한, 원시적인 
unenlighted, primitive,"
benighted,"unlearned, backward, ignorant"
bereft of,"~가 없는, 빼앗긴 deprived of"
betoken,"(...의) 징조[전조]이다
- a clear blue sky betokening a fine day"
betoken,indicate
betoken,portend
betray,"divulge, evince"
bland,"특징업는, 단조로운; 맛이없는; 재미없는, 건조한 =insipid"
bland,insipid
blatant,"1. 뻔한, 명백한 
2. 떠들썩한"
bleak,"암울한, 절망적인; 으스스한, 음산한, 황량한 
If a situation is bleak, it is bad, and seems unlikely to improve 이런 상황에서 사람들은 despondent 해질지도 모름 blanc, pale"
bleak,"depressing, grim, somber, dismal"
blemish,"흠, 결점, 오점"
blemish,defect
bludgeon,뭉둥이로 패다. 강요하다
boon,"은혜, 혜택, 행운 fortune"
boorish,(-) 촌뜨기 같은; 무례한
braggart,"n. 허풍쟁이, 떠버리 bragger 
a. 허풍떠는, 자랑하는 boastful"
brazen,"unabashed, audacious"
brazen*,"뻔뻔한, 철면피의 
brassy, brash, brazen, barefaced"
brevity,간결함 <brief
bridle,"check, control, curb"
bridle,"n. 1.(말)굴레 =>2.구속, 속박, 억류 
v. 1. (말에) 굴레를 씌우다 2. (감정을)억제하다 restrain"
bristle,"(~에) 화가 나서 발끈하다 
bristling 화가 나서 발끈한"
bristle,"become upset, 털이 곤두서다, bridle, boil, excited"
brook,참다 tolerate
brook,tolerate
bucolic,pastoral
bumbling,"갈팡질팡하는, 실수를 잘하는; 무능한"
bumbling,"bungling, gauche, blundering"
buoy,기분을 좋게 하다(북돋다) n. buoy 부표
burdensome,"부담스러운, 힘든"
burgeon,"급성장하다, 번영, 발전하다
-The market has burgeoned in recent years."
by no means,결코 ...이 아닌
bypass,circumvent
bypass,"v. 우회하다; 회피하다; 무시하다; (단계,절차를) 뛰어넘다 
circumvent"
byzantine,"(미로처럼) 복잡한, 뒤얽힌; 권모술수의, 음모의 complicated or secretive"
byzantine,"complex, daedal"
cache,은닉처
cajole,"감언으로 꼬셔서 ~하게 하다 blandish, coax"
cajole,"attempt to coax, entice, tantalize"
callow,"green, immature"
calm,"n. (마음의) 평정(平靜), 침착, 차분함; 평온
=quiescence(고요함, 조용함, 잠잠함)"
camaraderie,"우정, 동지애 friendship, amity"
candor,"솔직함 
< a. candid"
candor,"outspokeness, probity"
canned,"판에박힌, 틀에 박힌, 진부한
=formulaic (정형화된)"
canned,formulaic
canny,"약삭빠른, 영리한 
shrewd, clever"
canonize,성자의 반열에 올리다; 성전(聖典)[정전(正典)]으로 인정하다; 찬미[칭찬]하다; 신성시하다; (특히 종교적) 권위를 가지고 인정하다
canonize,"idolize, bless, consecrate, beatify, sanctify"
cantankerous,"성미가 고약한, 불평을 달고 사는"
cantankerous,"irascible, quarrelsome, testy, crabby"
canvass,"1. (선거구) 유세하다
2.(여론, 의견을) 조사하다 
3. 면밀히 살피다"
canvass,poll
capitulate,"항복하다, 굴복하다 
<'cap' 머리"
capricious,impulsive
captivate,"매료시키다
*captivating = very attractive"
captivate,"beguile, bewitch, enthrall, enchant, hypnotize"
carping,"트집 잡는, 잔소리 심한, 투덜거리는"
carping,"complaining, whining, caviling"
castigating,chastising
castigating,reprimanding
casual,cursory
cataclymic,"catastrophic, destructive"
cataclysmic,"격변하는, 대변동의"
catchall,"inclusive, comprehensive"
caterwaul,"scream, quarrel"
caterwaul,"v. (고양이 소리같이) 새된 소리를 내다 
=shriek n.고양이 울음소리"
cease,"그만두다, 멈추다; 멎다, 끝나다"
cease,"stop, halt, refrain"
cede,"포기하다, 양도하다 ('국가, 영토, 주권' 관련)
- Russia ceded Alaska to the U.S. in 1867."
cede,"capitulate, concede, grant"
celebrated,renowned
censure,reprehend
censure,reprimand
centrifugal,"원심력의, 원심력을 이용한, (중심에서) 밖으로 향하는/"
centrifugal,"원심성의, centrifutal force"
chariness,"wariness, alertness"
chary,prudent
chastening,"훈계의, 질책의; 역경의, 반성의//
[v] *chasten 꾸짖다, 훈계하다"
chastising,"벌하는, 꾸짖는 
[v] *chastise ↓ 몹시 비난하다, 꾸짖다, 벌하다 (berate, reprimand, reprove, rebuke, admonish)"
check,"hinder, restrain, curb, stem"
checking,stemming
chimera,"1. 키메라(사자의 머리에 염소 몸통에 뱀 꼬리를 단 그리스 신화 속 괴물)=> 2. *불가능한 생각[희망], 망상"
chimera,"illusion, 불가능한 생각"
chivalrous,"valiant, courteous"
choleric,"화 잘내는** 
irascible, crotchety, testy"
choleric,"peevish, cho초이레릭"
chronology,연대순; 연대표
chronology,연대표
cipher,암호
circumscribe,confine
circumvent,"avoid, skirt, evade"
cite,"인용하다(quote), 예증하다(mention); 열거하다"
civil,"1.민간의 2.정중한, 예의 바른 3.시민의"
clamorous,"떠들썩한, 시끄러운; 시끄럽게 요구하는, 불평을 말하는"
clannish,"씨족의, 당파적인 clan=씨족"
clear out,(~을 없애고) 청소하다
clear out,"dispose of, eliminate"
clement,"관대한 lenient // 
n. clemency 자비, 관대함 mercy <>*inclement=merciless"
clement,lenient
clumsy,"어설픈, 어색한; 서투른, 세련되지 못한"
coddle,"관대하게/너그럽게 대하다, 버릇없이 기르다 mollycoddle, spoil"
coddle,"pamper, indulge 궁디팡팡.."
coercion,"강제, 강요, 강압"
cogent,"설득력 있는 convincing, persuasive"
cogent,convincing
coherence,"일관성
[a] coherent 1.( 글) 일관성 있는, 조리가 맞는 2. (사람) 조리 있는"
collaborate,"1. 공동 작업하다, 협력하다 2. (적과 내통하여) 공모하다"
collapse,"[v] 붕괴되다, 무너지다; 실패하다; (가격)폭락하다; (신체)쇠약해지다 
[n] 붕괴; 실패; 쇠약, 의기소침"
collegiality,동료간의 협조·협력 관계
collegiality,협력관계
colossal,"거대한, 엄청난
- There has been a colossal waste of public money"
colossal,immense
combine,"결합하다, 결합되다, 협력시키다 
=meld(섞이다, 혼합되다)"
combine,"meld (섞다, 혼합하다)"
comity (courtesy),civility
comity,"우의; 예의(courtesy), 예절 
=amicableness(우호적임, 원만함)"
commence,"시작되다[하다]
- The meeting is scheduled to commence at noon"
commence,commence fire!
commend,"1. (특히 공개적으로) 칭찬하다 
2. 추천하다, 권하다"
commend,recommend
commiserate,"위로, 동정을 표하다"
commiserate,sympathize
complexion,"안색 
- a pale/bad complexion (창백한/좋지 못한 안색)"
complimentary,"칭찬하는, 경의를 표하는
- a complimentary address (축사)"
complimentary,flattering
complimentary,free
composure,calmness
compound,"[n] 복합체, 화합물, [a]합성의, 복합의 
[v] 섞다, 혼합하다"
compound,complicate; mixture
comprehensive,"1. 포괄적인, 종합적인 
2. 이해하는; 이해력이 있는, 이해가 빠른"
comprehensive,exhaustive
comprehensive,sweeping
compromise,impair
compuction,"regret, rue, ruth"
compulsory,"강제적인, 의무적인, 필수의
obligatory"
compulsory,"binding, imperative"
compunction,"양심의 가책, 뉘우침, 죄책감 qualms**, scruples"
concede,"1.(옳음을, 맞음을)인정하다 2. 양보하다"
concede,acknowledge
conceivable,"상상할[믿을] 수 있는, 가능한"
conceivable,"reasonable, imaginable, easy to understand"
conciliatory,"달래는, 회유적인 
[v] conciliate 1. 달래다, 위안을 주다 2. 화해시키다"
concomitant,[a] 수반되는(with) [n] 수반되는 일
concurret,"a. 동시에 발생하는 
-concurrent factors (동시에 발생한 일)"
condone,"묵과하다, 용서하다"
condone,wink at
conducive (to v),"도움이 되는
- The noisy environment was not very conducive to studying 
= favorable, beneficial, advanteous"
conducive,helpful
conflate,융합[합체]하다
conflate,"amalgamate, meld, consolidate, merge"
confound,"혼돈시키다, 당황케 하다
bewilder, baffle, perplex"
confused,"muddled (헝클어뜨려진, 뒤죽박죽된)"
congeniality,"일치, 합치, 친화성//
[a] congenial 친근한, 사근사근한"
congeniality,"amiability, affability; 친화성, 적합성"
conjectural,"추측의, 억측의, 확정적이 아닌
speculative"
conjectural,speculative
connotation,함축
connotation,implication
conscientiousness,"[a] conscientious 1. 양심적인 2.면밀한, 근면 성실한, 꼼꼼한*"
considerate,"사려 깊은, (남을) 배려하는"
consign,"위임, 위탁하다 
assign, allocate, relegate"
consign,"relegate, hand over, entrust (맡기다)"
consistent,"한결같은, 일관된"
consolidate*,"1. 통합하다 consoldate, coalesce, amalgamate
2. 강화하다, 입지를 굳히다 strengthen* 
<주의> solidify (고체로만들다) 와 무관"
constrain,"1. 강제하다
2. **억제하다, 막다 
restrain, curb, check"
constrict,constrain
construe*,"해석하다, 알기쉽게 설명해주다(해석해주다) interpret 
- They construed my smile as assent."
consummate,"1. (기술, 실력) 완전한, 완벽한* (= complete)
2. 완전하게 하다, 완성하다"
consummate,"polish off, achieve, terminate"
contagious,"(접촉을 통해) 전염되는, 전염성의
- a contagious disease"
contemplate,ponder
contemplate*,"1. 응시하다
2. 심사숙고하다*
<temple : 사색의 장소"
contemptuous,"경멸하는, 업신여기는"
contemptuous,"condescending, disdainful, haughty, scornful"
contend,"1. 싸우다, 다투다
2. 주장하다 argue"
contend,"dispute, argue"
contentious,"1. 논쟁적인 querrelsome 
2. 논쟁을 일으키는 controversial 
tendentious (과격한, 극단적인)"
contentious,controversial
contentious,tendentious (편향 -> 과격까지)
contingent upon,"~여하에 따른, ~여부에 따른"
contour,"(사물, 사람의) 윤곽, 외형 ; 등고선"
contour,"delineation, profile"
contradiction,"1. 부정, 부인; 반박, 반대
2. 모순, 자가당착, 상반; 모순된 말[행위, 사실]"
contravene,infringe (위반하다. 제한하다. 침해하다)
contravene,violate
contrive,fabricate
contrived,"(-) 억지로 꾸민 듯한, 부자연스러운, 인위적인 
[v] contrive (-) 꾀하다, 획책하다 plan with evil intent; fabricate, plot, scheme"
contrived,"overly planned, false, phony, affected, overdone, artificial"
contumacious,"headstrong, obstinate"
contumacious*,고집센 resistant
conundrum**,"난제, 수수께끼** enigma"
convection,(기체나 액체에 의한 열의) 대류
convection,"transfer, 기체의 대류"
conventional*,"틀에 박힌, 진부한* , 평범한, 전통적인"
conversant,"experienced, familiar with"
conversant*,"~을 잘 아는*, 친숙한, 정통한
experienced, familiar 
- She's conversant in several languages"
convey ideas,"=impart ideas ""전하다"""
convey,impart
convictive,"설득력 있는; 잘못을 자각하게 하는
persuasive"
convictive,"persuasive; cpnviction (설득력있는, 잘못을 자각하게 하는) 유죄선고"
convoluted,tortuous
convoluted**,"복잡한**, 난해한
intricate, complicated, byzantine(비잔팅양식의; 정교하고 복잡한)"
copious*,"풍부한, 많은
- The storm produced a copious amount of rain. 
n. copiousness*"
corroborate*,확증하다 confirm
corrosive,"1. 부식을 일으키는, 부식성의; 
2. 좀(갉아) 먹는 
3. <풍자·비판 등이> 신랄한, 통렬한"
corrosive,"부식성의, 좀먹는"
countenance,지지하다
countenance*,"찬성하다, 지지하다*, n.표정, 용모, 안색 
(A) countenance (A) = champion*"
countermand,다른 주문을 함으로써 명령을 철회하다
countermand,"취소하다, 철회하다"
counterproductive,"비생산적인, 역효과의"
coveted,"탐내는 enviable 
[v] covet 탐내다, 갈망하다"
coveted,enviable (탐낼만한)
covetous,"탐내는, 갈망하는"
covetous,"탐하는, 갈망하는 envious, greedy, desirous"
cower,"(두려워) 움츠리다 
- They cowered at the sight of the gun."
cower,겁을 먹고 몸을 숙이다
crassness,"어리석음 ; 엉뚱함 
[a] crass 우둔한, 아주 어리석은"
crassness,"어리석음, 엉뚱함"
craven,"용기 없는, 비겁한"
craven*,"1. 소심한, 겁쟁이의, 비겁한 cowardly, timid 
2. 겁쟁이, 비겁한 사람 coward"
croon,"(조용히 부드럽게) 노래하다, 흥얼거리다"
crucial,"중대한, 결정적인 critical"
cue,"n. (무엇을 하라는) 신호 
v. (무엇을 시작하라는) 신호를 주다"
culmination,"정점, 최고조 
crest, apex"
culpability,"과실, (죄에 대한) 책임 
[a] culpable* 비난 받을 만한, 과실이 있는 guilty, blameworthy <culpa 죄"
culprit,"죄인, 범인; 원인"
cultivate,"경작하다; 재배하다; 양성하다, 계발하다, 교화하다, 촉진하다, 장려하다; (친구,교제를) 구하다, 돈독히하다"
cumbersome,"다루기힘든; 방해가 되는, 귀찮은, 성가신
=unwieldy (다루기힘든, 거추장스러운)"
cursory,"(-) 대충 하는, 피상적인"
curt*,"1. (말) 퉁명스런
2. 간결한, 짧은* terse, concise"
curtail,"축소하다, 줄이다, 삭감하다* 
<cut a tail의 준말. (""쥐꼬리 봉급 삭감하다"")"
cynical**,"냉소적인 distrustful**
doubtful, suspicious"
dampen,"1. 축축하게 하다 
2. (활력, 열의) 꺽다 (<찬물끼얹다) discourage"
daunt,"위협하다, 겁나게 하다, 기죽이다 cow
>dauntless 겁 없는, 용감한, 대범한 
undaunted, audacious"
dead,"(-) 생기 없는, 무기력한, 지루한; 침체된, 불황의. 
=inactive, inert(기력이없는)"
dearth,"(...의) 부족[결핍]
- There was a dearth of reliable information on the subject."
debacle*,"재앙, 재난 catastrophe, calamity"
decay,"부패, 부식; 쇠퇴, 쇠락 
deterioration (악화, 하락)"
deceitful,"기만적인, 부정직한, 속이는"
deceleration,"감속 
[v]decelerate 속도를 줄이다 <>accelerate"
decrepit,"(人)노쇠한, 노후한 infirm, debilitated 
- a decrepit old man / 다무너져가는 decrepit 크레페 크림 범벅 흐물흐물한 집.."
defender,=proponent
deflate,"(타이어, 풍선 등)공기를 빼다, 기를 꺾다"
deflect,"방향을 바꾸다, 바꾸게 하다; 빗나가게 하다; ""피하다"", 모면하다, 막다 
If you deflect something such as criticism or attention, you act in a way that prevents it from being directed towards you or affecting you."
deified,"신격화된//
deify 신격화하다, 숭배하다
<deity 신 -These young men deify financial success."
deign,"(신분높은 사람이) 황송하게도 ~해주다// 
(-) 자신을 낮추어 ~하다, dignity에 안맞는 일을 한다는듯이 굴다 condescend"
delegate,"1. 대표, 사절, 
2. 대표로 파견하다, 
3. 위임하다"
delirious,"1. (보통 고열로 인해) 의식이 혼미한, 헛소리를 하는
-He became delirious and couldn't recognize people
2. 좋아서 어쩔 줄 모르는, 기뻐 날뛰는 
- delirious with joy"
demanding,"1. (일이) 부담이 큰, 힘든
2. (人) 요구가 지나치게 많은, 쉽게 만족하지 않는"
demarcation,경계; 구분
demise,"1. 죽음, 서거 2. 종식, 종말"
demolished,"파괴된, 철거된, 괴멸된 
[v] demolish 파괴하다 to destroy completely 
=decimate"
demonstrate,"입증하다,논증하다; 설명하다"
denounce,↓ 공공연히 비난하다
denunciation,"(공개적으로 하는) 맹렬한 비난//
[v] denunciate↓공공연히 비난하다 denounce"
deplete,고갈시키다
deploy,"1.(군대)배치하다 2. (효율적으로) 이용하다
= move strategically"
depraved,"타락한, 부패한 
n. depravity 타락, 부패, 사악"
depreciate,"↓1.평가절하하다 2.깎아내리다 disparage, deprecate"
derisive,조롱[조소]하는
derivative,"n. 파생어; 파생물
a. 유래된, 파생적인, 2차적인; (-)독창적이아닌, 새롭지않은,모방한"
despondent,"낙심한, 풀 죽은
dejected, disheartened"
destroy,"파괴하다; 말살하다
annihilate(전멸시키다)"
deteriorate,"악화시키다, 손상시키다 worsen 
- People made efforts to save a deteriorating rain forest."
detest,"몹시 싫어하다, 혐오하다"
detrimental,해로운
devious,"부정직한, 사악한"
devolve,"<권리·의무·직분을> 양도하다, 맡기다, 넘기다 
- the need to decentralize and devolve power to regional governments"
dexterous,"솜씨 좋은, 능숙한"
diagnose,"진단하다 
determine, recognize, detect, pinpoint"
dialect,"방언, 사투리"
dichotomous,"양분된, 이분법의; 둘로 갈라진 
contradictory"
dichotomy,"이분법, 양분됨"
dictatorial,"독재(자)의, 독재적인"
diffident,"자신 없는, 기가 죽은, 수줍어하는"
diffuse,"1.퍼뜨리다, 확산시키다 spread 
2.널리 퍼진, 분산된 
3.장황한"
diffusive,"널리 퍼진, 보급되기 쉬운, 보급력이 있는; 확산성의; 산만[장황]한; 수다스러운"
digress,"(주제, 본론에서)벗어나다
deviate from the main topic"
digressional,본론을 벗어난; 탈선한
dim,"어둑한, 흐릿한"
diminutive,"아주 작은
minuscule (극소의)"
disabuse,"(그릇된 생각) 바로잡아주다 <>abuse 남용,오용하다 
-Let me disabuse you of your foolish notions about married life."
disallow,"인정하지 않다, 받아들이지 않다"
disarmed,"무장해제된, 비무장의; 마음이 누그러진 // 
*disarming 
(심리적으로) 상대방을 무장 해제시키는, (화,적개심을) 누그러뜨리는, 달래는, 
- We are all charmed by his disarming openness and modesty."
disarray,"(상황・장소가) 혼란(스러움) disorganized, confused"
disband,"(조직을[이]) 해체[해산]하다, band 의 반대"
discard,"버리다, 폐기하다"
discernible,"분간할 수 있는, 구별[식별, 인식]할 수 있는=discernable
[v] discern 알아보다, 인지하다, 이해하다, 분별하다, 구별하다 recognize, perceive"
discernment,"인식력, 분별력, 판단력"
disconcerting,당황케 하는
discrete,"불연속의, 분리된, 별개의 
separate, distinct"
discretion,"1.신중함 <a.discreet 
2.*자유재량, 결정 personal decision"
discretionary,"재량껏 할 수 있는 giving somebody authority to decide 
<""discretion (2)자유재량, 결정"""
discursion,"종잡을 수 없는 말, 만담, 탈선; 지리 멸렬, 산만함"
discursive,"주제를 벗어난, 산만한
digressive"
disdain,"1.무시, 경멸 
2.무시, 경멸하다"
disequilibrium,"불안정, 불균형"
disgorge,"토해내다, 쏟아내다, 방출하다
- The pipe disgorges sewage into the sea. ; gorge 삼키다 꼬치를 고지..?"
disinclined to,"내키지 않는, 꺼리는"
disingenuous,"솔직하지 않은, 부정직한
**ingenuous 순진한, 솔직한 artless"
disjunctive,"분리의, 이분법적인 dividing 
[n] disjunction 괴리, 차이"
dismal,"음산한, 음울한, 참담한, 매우 안 좋은 ↓
depressed, gloomy, dejected 
- The show was a dismal failure."
dismantle,"분해, 와해시키다 
demolish, destroy, disassemble,"
dismissive,"무시하는, 멸시하는 
- Mr Jones was dismissive of the report, saying it was riddled with inaccuracies."
disparaging,"얕보는; 험담하는, 비난하는"
disparities,"[pl] disparity 격차, 차이, 불균형 variances(차이)
(주의)variance : 변화, 변동"
disparity,"격차, 차이, 불균형 
[a]disparate 본질적으로 다른"
dispatch,"보내다, 파견하다/파견, 발송
- Troops have been dispatched to the area. (그 지역에 군대가 파견되었다)"
dispel,"떨쳐 버리다, 없애다 (idea/feeling)
- His speech dispelled any fears about his health."
dispense with,"(더 이상 필요 없는 것을) 없애다[생략하다]
- Debit cards dispense with the need for cash altogether"
dispirited,"기력을 잃은, 의기소침한, 낙심한.
[v] dispirit (열정, 사기, 희망 등을) 잃게 하다 dampen, discourage, dishearten"
displeased,"화난, 불쾌한, 불만인"
disregard,"무시[묵살]하다/ 무시, 묵살
defy, disregard, flout"
disrupt,"방해하다, 지장을 주다"
disseminate,"퍼뜨리다, 전파하다 spread, disperse, transmit*"
dissent,"의견을 달리하다, 반대하다 <>assent, consent"
dissident,"반대하는/ 반대자
disagreeing, dissenting"
distasteful,"불쾌한, 혐오스러운"
distend,"...을 넓히다, 부풀게 하다, 팽창시키다."
distinct,"별개의, 독특한, 다른 discrete 
distinctive 특색 있는, 다른 것과 다른, 독특한"
diverge,"(다른 방향으로) 갈라지다[분기하다/나뉘다]
a. divergent 분기하는, 갈라지는, (의견) 다른"
divisive,"분리, 분열시키는 
alienating, isolating 
- He believes that unemployment is socially divisive."
dormant,"활동이 없는, 휴면기의
-The seeds will remain dormant until the spring."
dour,"시무룩한, *뚱한, 우울한"
douse,"1. 물을 뿌려 불을 끄다
2. (액체를) 흠뻑 붓다; 적시다 drench"
dovish,"비둘기(파) 같은; 온건한, 평화를 열망하는 peaceful"
draconian,"(법, 조치) 가혹한, 아주 엄격한 very severe 
<Draco(人):로마에서 법 만든 人, 그 법이 너무너무 severe해서 '악마'로 번역되기도."
drawback,"결점, 문제점"
drollness,"우스움, 익살맞음.
[a] droll 웃기는, 익살스런 humorous"
drone,단조롭게 말하다
dubious*,"1. 의심스러운
2. 의심하는
3. 불확실한"
